JobLevel,JobSatisfaction,EnvironmentSatisfaction,AttritionRate,TotalEmployees
1,1,1,66.66667,21
1,2,1,47.36842,19
1,1,2,37.50000,16
1,1,3,34.21053,38
1,3,1,32.35294,34
1,3,4,30.61224,49
1,2,2,27.27273,22
1,1,4,25.80645,31
1,3,3,25.00000,52
1,2,3,25.00000,28
1,4,3,20.75472,53
1,4,1,18.18182,33
1,2,4,17.94872,39
1,4,2,16.21622,37
1,4,4,15.90909,44
1,3,2,14.81481,27
2,2,1,45.45455,11
2,1,2,23.80952,21
2,1,1,22.22222,18
2,3,2,17.50000,40
2,3,1,14.28571,35
2,3,4,14.00000,50
2,1,4,10.00000,30
2,4,1,10.00000,30
2,2,3,8.33333,36
2,3,3,5.26316,38
2,4,4,4.76190,63
2,4,3,4.34783,46
2,2,4,4.00000,25
2,4,2,3.03030,33
2,1,3,3.03030,33
2,2,2,0.00000,25
3,3,1,31.25000,16
3,1,4,26.66667,15
3,1,2,23.07692,13
3,4,1,23.07692,13
3,1,1,22.22222,9
3,4,3,17.85714,28
3,2,2,16.66667,6
3,2,3,14.28571,14
3,4,4,13.33333,15
3,2,1,12.50000,8
3,3,2,12.50000,8
3,2,4,11.11111,9
3,4,2,9.09091,11
3,1,3,7.69231,13
3,3,4,0.00000,17
3,3,3,0.00000,23
4,2,2,33.33333,3
4,4,1,14.28571,7
4,1,3,14.28571,7
4,3,1,12.50000,8
4,3,3,10.00000,10
4,4,3,0.00000,10
4,1,4,0.00000,7
4,4,2,0.00000,4
4,2,4,0.00000,8
4,3,4,0.00000,6
4,2,1,0.00000,5
4,3,2,0.00000,4
4,2,3,0.00000,6
4,1,2,0.00000,4
4,1,1,0.00000,3
4,4,4,0.00000,14
5,4,1,100.00000,1
5,2,1,25.00000,4
5,1,4,25.00000,4
5,3,2,20.00000,5
5,2,4,16.66667,6
5,1,3,0.00000,3
5,3,3,0.00000,5
5,3,4,0.00000,8
5,2,3,0.00000,3
5,1,1,0.00000,2
5,4,4,0.00000,6
5,3,1,0.00000,7
5,1,2,0.00000,1
5,4,2,0.00000,4
5,4,3,0.00000,7
5,2,2,0.00000,3
